start,end,phase
0.0,42.2,idle
42.2,71.0,rest
71.0,92.9,idle
92.9,108.1,rest
108.1,167.3,idle
167.3,194.3,rest
194.3,381.9,idle
381.9,383.6,rest
383.6,415.7,idle
415.7,485.0,rhexis
485.0,510.3,idle
510.3,588.1,rhexis
588.1,594.8,idle
594.8,675.9,rhexis
675.9,682.7,idle
682.7,696.2,rhexis
696.2,708.0,idle
708.0,745.2,rhexis
745.2,763.8,idle
763.8,848.3,rhexis
848.3,944.6,idle
944.6,1079.8,phacoemulsification
1079.8,1125.4,idle
1125.4,1150.8,phacoemulsification
1150.8,1206.5,idle
1206.5,1243.7,phacoemulsification
1243.7,1316.4,idle
1316.4,2615.8,phacoemulsification
2615.8,2669.9,idle
2669.9,2725.7,phacoemulsification
2725.7,2784.866667,idle
