start,end,phase
0.0,7.0,idle
7.0,49.0,rhexis
49.0,57.3,idle
57.3,175.5,rhexis
175.5,186.7,idle
186.7,200.7,rhexis
200.7,204.9,idle
204.9,225.9,rhexis
225.9,230.1,idle
230.1,265.8,rhexis
265.8,272.1,idle
272.1,288.1,rhexis
288.1,293.7,idle
293.7,304.9,rhexis
304.9,305.0,idle
305.0,317.5,rhexis
317.5,321.0,idle
321.0,365.8,rhexis
365.8,368.6,idle
368.6,386.7,rhexis
386.7,391.6,idle
391.6,400.0,rhexis
400.0,404.2,idle
404.2,417.5,rest
417.5,422.4,idle
422.4,441.3,rhexis
441.3,446.9,idle
446.9,877.7,phacoemulsification
877.7,882.66,idle
