start,end,phase
0.0,58.2,idle
58.2,94.1,rest
94.1,104.7,idle
104.7,117.4,rest
117.4,120.6,idle
120.6,133.3,rest
133.3,139.6,idle
139.6,157.6,rest
157.6,175.6,idle
175.6,191.4,rest
191.4,206.2,idle
206.2,216.8,rest
216.8,218.9,idle
218.9,227.4,rest
227.4,233.7,idle
233.7,277.1,rest
277.1,307.8,idle
307.8,336.3,rhexis
336.3,365.9,idle
365.9,502.4,rhexis
502.4,524.6,idle
524.6,637.7,rhexis
637.7,651.5,idle
651.5,706.5,rhexis
706.5,722.3,idle
722.3,727.6,rest
727.6,759.3,idle
759.3,779.4,rhexis
779.4,786.8,rest
786.8,812.2,idle
812.2,845.0,rhexis
845.0,902.1,idle
902.1,945.5,phacoemulsification
945.5,1129.5,idle
1129.5,1142.2,rest
1142.2,1150.7,idle
1150.7,1164.4,rest
1164.4,1164.5,idle
1164.5,1723.9,phacoemulsification
1723.9,1743.0,idle
