start,end,phase
0.0,3.6,idle
3.6,26.6,rest
26.6,37.5,idle
37.5,48.4,rest
48.4,59.3,idle
59.3,72.2,rest
72.2,72.3,idle
72.3,113.7,rest
113.7,113.8,idle
113.8,151.2,rhexis
151.2,151.3,idle
151.3,167.0,rest
167.0,167.1,idle
167.1,265.0,rhexis
265.0,281.9,idle
281.9,294.0,rhexis
294.0,302.5,idle
302.5,330.3,rhexis
330.3,338.8,idle
338.8,348.4,rest
348.4,359.3,idle
359.3,366.2,rhexis
366.2,372.6,idle
372.6,398.1,rhexis
398.1,404.1,idle
404.1,427.1,rest
427.1,427.2,idle
427.2,441.6,rhexis
441.6,450.1,idle
450.1,464.6,rhexis
464.6,471.9,idle
471.9,504.5,rhexis
504.5,517.8,idle
517.8,556.5,rhexis
556.5,574.7,idle
574.7,636.4,rest
636.4,647.3,idle
647.3,713.8,rhexis
713.8,951.0,idle
951.0,964.3,rest
964.3,1013.9,idle
1013.9,1019.9,rest
1019.9,1028.4,idle
1028.4,1039.3,rest
1039.3,1047.8,idle
1047.8,1094.4,rest
1094.4,1101.0,idle
1101.0,1398.6,phacoemulsification
1398.6,1439.8,idle
1439.8,1467.6,phacoemulsification
1467.6,1534.1,idle
1534.1,1754.3,phacoemulsification
1754.3,1994.0,idle
