start,end,phase
0.0,10.2,idle
10.2,15.8,rest
15.8,21.7,idle
21.7,39.4,rest
39.4,57.1,rest
57.1,62.2,idle
62.2,102.8,rest
102.8,112.6,idle
112.6,121.7,rest
121.7,124.5,idle
124.5,200.9,rest
200.9,205.6,idle
205.6,241.8,rest
241.8,243.8,idle
243.8,279.6,rhexis
279.6,282.8,idle
282.8,320.6,rest
320.6,322.2,idle
322.2,386.8,rhexis
386.8,395.4,idle
395.4,404.1,rest
404.1,407.3,idle
407.3,474.2,rest
474.2,484.5,idle
484.5,493.1,rest
493.1,510.1,idle
510.1,527.0,rest
527.0,552.2,idle
552.2,556.5,rest
556.5,649.2,idle
